,miRNA,disease
118,['hsa-mir-200c'],['Colonic Neoplasms']
119,['hsa-mir-203'],['Colonic Neoplasms']
120,['hsa-mir-20a'],['Colonic Neoplasms']
121,['hsa-mir-21'],['Colonic Neoplasms']
122,['hsa-mir-215'],['Colonic Neoplasms']
123,['hsa-mir-221'],['Colonic Neoplasms']
124,['hsa-mir-223'],['Colonic Neoplasms']
125,['hsa-mir-224'],['Colonic Neoplasms']
126,['hsa-mir-23a'],['Colonic Neoplasms']
127,['hsa-mir-24'],['Colonic Neoplasms']
128,['hsa-mir-25'],['Colonic Neoplasms']
129,['hsa-mir-26a'],['Colonic Neoplasms']
130,['hsa-mir-27a'],['Colonic Neoplasms']
131,['hsa-mir-27b'],['Colonic Neoplasms']
132,['hsa-mir-296'],['Colonic Neoplasms']
133,['hsa-mir-29a'],['Colonic Neoplasms']
134,['hsa-mir-29b'],['Colonic Neoplasms']
135,['hsa-mir-30a'],['Colonic Neoplasms']
136,['hsa-mir-30c'],['Colonic Neoplasms']
137,['hsa-mir-31'],['Colonic Neoplasms']
138,['hsa-mir-32'],['Colonic Neoplasms']
139,['hsa-mir-320'],['Colonic Neoplasms']
140,['hsa-mir-328'],['Colonic Neoplasms']
141,['hsa-mir-339'],['Colonic Neoplasms']
142,['hsa-mir-342'],['Colonic Neoplasms']
143,['hsa-mir-34a'],['Colonic Neoplasms']
144,['hsa-mir-34b'],['Colonic Neoplasms']
145,['hsa-mir-34c'],['Colonic Neoplasms']
146,['hsa-mir-372'],['Colonic Neoplasms']
147,['hsa-mir-378'],['Colonic Neoplasms']
148,['hsa-mir-422a'],['Colonic Neoplasms']
149,['hsa-mir-422b'],['Colonic Neoplasms']
150,['hsa-mir-451'],['Colonic Neoplasms']
151,['hsa-mir-497'],['Colonic Neoplasms']
152,['hsa-mir-7'],['Colonic Neoplasms']
153,['hsa-mir-9'],['Colonic Neoplasms']
154,['hsa-mir-92'],['Colonic Neoplasms']
155,['hsa-mir-93'],['Colonic Neoplasms']
156,['hsa-mir-95'],['Colonic Neoplasms']
157,['hsa-mir-96'],['Colonic Neoplasms']
158,['hsa-let-7a'],['Colon Neoplasms']
159,['hsa-let-7b'],['Colon Neoplasms']
160,['hsa-let-7f'],['Colon Neoplasms']
161,['hsa-let-7g'],['Colon Neoplasms']
162,['hsa-mir-1'],['Colon Neoplasms']
163,['hsa-mir-106a'],['Colon Neoplasms']
164,['hsa-mir-106b'],['Colon Neoplasms']
165,['hsa-mir-107'],['Colon Neoplasms']
166,['hsa-mir-10a'],['Colon Neoplasms']
167,['hsa-mir-10b'],['Colon Neoplasms']
168,['hsa-mir-124a'],['Colon Neoplasms']
169,['hsa-mir-125a'],['Colon Neoplasms']
170,['hsa-mir-126'],['Colon Neoplasms']
171,['hsa-mir-127'],['Colon Neoplasms']
172,['hsa-mir-128b'],['Colon Neoplasms']
173,['hsa-mir-129'],['Colon Neoplasms']
174,['hsa-mir-130b'],['Colon Neoplasms']
175,['hsa-mir-132'],['Colon Neoplasms']
176,['hsa-mir-133a'],['Colon Neoplasms']
177,['hsa-mir-133b'],['Colon Neoplasms']
178,['hsa-mir-135b'],['Colon Neoplasms']
179,['hsa-mir-137'],['Colon Neoplasms']
180,['hsa-mir-139'],['Colon Neoplasms']
181,['hsa-mir-140'],['Colon Neoplasms']
182,['hsa-mir-141'],['Colon Neoplasms']
183,['hsa-mir-143'],['Colon Neoplasms']
184,['hsa-mir-145'],['Colon Neoplasms']
185,['hsa-mir-155'],['Colon Neoplasms']
186,['hsa-mir-15b'],['Colon Neoplasms']
187,['hsa-mir-17'],['Colon Neoplasms']
188,['hsa-mir-181a'],['Colon Neoplasms']
189,['hsa-mir-181b'],['Colon Neoplasms']
190,['hsa-mir-182'],['Colon Neoplasms']
191,['hsa-mir-183'],['Colon Neoplasms']
192,['hsa-mir-18a'],['Colon Neoplasms']
193,['hsa-mir-191'],['Colon Neoplasms']
194,['hsa-mir-192'],['Colon Neoplasms']
195,['hsa-mir-194'],['Colon Neoplasms']
196,['hsa-mir-195'],['Colon Neoplasms']
197,['hsa-mir-196a'],['Colon Neoplasms']
198,['hsa-mir-19a'],['Colon Neoplasms']
199,['hsa-mir-19b'],['Colon Neoplasms']
200,['hsa-mir-200c'],['Colon Neoplasms']
201,['hsa-mir-203'],['Colon Neoplasms']
202,['hsa-mir-20a'],['Colon Neoplasms']
203,['hsa-mir-21'],['Colon Neoplasms']
204,['hsa-mir-215'],['Colon Neoplasms']
205,['hsa-mir-221'],['Colon Neoplasms']
206,['hsa-mir-223'],['Colon Neoplasms']
207,['hsa-mir-224'],['Colon Neoplasms']
208,['hsa-mir-23a'],['Colon Neoplasms']
209,['hsa-mir-24'],['Colon Neoplasms']
210,['hsa-mir-25'],['Colon Neoplasms']
211,['hsa-mir-26a'],['Colon Neoplasms']
212,['hsa-mir-27a'],['Colon Neoplasms']
213,['hsa-mir-27b'],['Colon Neoplasms']
214,['hsa-mir-296'],['Colon Neoplasms']
215,['hsa-mir-29a'],['Colon Neoplasms']
216,['hsa-mir-29b'],['Colon Neoplasms']
217,['hsa-mir-30a'],['Colon Neoplasms']
218,['hsa-mir-30c'],['Colon Neoplasms']
219,['hsa-mir-31'],['Colon Neoplasms']
220,['hsa-mir-32'],['Colon Neoplasms']
221,['hsa-mir-320'],['Colon Neoplasms']
222,['hsa-mir-328'],['Colon Neoplasms']
223,['hsa-mir-339'],['Colon Neoplasms']
224,['hsa-mir-342'],['Colon Neoplasms']
225,['hsa-mir-34a'],['Colon Neoplasms']
226,['hsa-mir-34b'],['Colon Neoplasms']
227,['hsa-mir-34c'],['Colon Neoplasms']
228,['hsa-mir-372'],['Colon Neoplasms']
229,['hsa-mir-378'],['Colon Neoplasms']
230,['hsa-mir-422a'],['Colon Neoplasms']
231,['hsa-mir-422b'],['Colon Neoplasms']
232,['hsa-mir-451'],['Colon Neoplasms']
233,['hsa-mir-497'],['Colon Neoplasms']
234,['hsa-mir-7'],['Colon Neoplasms']
235,['hsa-mir-9'],['Colon Neoplasms']
236,['hsa-mir-92'],['Colon Neoplasms']
237,['hsa-mir-93'],['Colon Neoplasms']
238,['hsa-mir-95'],['Colon Neoplasms']
239,['hsa-mir-96'],['Colon Neoplasms']
240,['hsa-mir-103'],['Esophageal Neoplasms']
241,['hsa-mir-107'],['Esophageal Neoplasms']
242,['hsa-mir-192'],['Esophageal Neoplasms']
243,['hsa-mir-194'],['Esophageal Neoplasms']
244,['hsa-mir-196a'],['Esophageal Neoplasms']
245,['hsa-mir-203'],['Esophageal Neoplasms']
246,['hsa-mir-205'],['Esophageal Neoplasms']
247,['hsa-mir-21'],['Esophageal Neoplasms']
248,['hsa-mir-223'],['Esophageal Neoplasms']
249,['hsa-mir-373'],['Esophageal Neoplasms']
250,['hsa-mir-375'],['Esophageal Neoplasms']
251,['hsa-mir-10b'],['Glioblastoma']
252,['hsa-mir-123'],['Glioblastoma']
253,['hsa-mir-125b'],['Glioblastoma']
254,['hsa-mir-128a'],['Glioblastoma']
255,['hsa-mir-130a'],['Glioblastoma']
256,['hsa-mir-153'],['Glioblastoma']
257,['hsa-mir-181a'],['Glioblastoma']
258,['hsa-mir-181b'],['Glioblastoma']
259,['hsa-mir-181c'],['Glioblastoma']
260,['hsa-mir-191'],['Glioblastoma']
261,['hsa-mir-197'],['Glioblastoma']
262,['hsa-mir-21'],['Glioblastoma']
263,['hsa-mir-220'],['Glioblastoma']
264,['hsa-mir-221'],['Glioblastoma']
265,['hsa-mir-222'],['Glioblastoma']
266,['hsa-mir-23a'],['Glioblastoma']
267,['hsa-mir-23b'],['Glioblastoma']
268,['hsa-mir-24'],['Glioblastoma']
269,['hsa-mir-25'],['Glioblastoma']
270,['hsa-mir-34a'],['Glioblastoma']
271,['hsa-mir-425'],['Glioblastoma']
272,['hsa-mir-451'],['Glioblastoma']
273,['hsa-mir-486'],['Glioblastoma']
274,['hsa-mir-7'],['Glioblastoma']
275,['hsa-mir-9'],['Glioblastoma']
276,['hsa-let-7d'],['Head and Neck Neoplasms']
277,['hsa-let-7e'],['Head and Neck Neoplasms']
278,['hsa-let-7g'],['Head and Neck Neoplasms']
279,['hsa-let-7i'],['Head and Neck Neoplasms']
280,['hsa-mir-1'],['Head and Neck Neoplasms']
281,['hsa-mir-101'],['Head and Neck Neoplasms']
282,['hsa-mir-122a'],['Head and Neck Neoplasms']
283,['hsa-mir-133a'],['Head and Neck Neoplasms']
284,['hsa-mir-138'],['Head and Neck Neoplasms']
285,['hsa-mir-141'],['Head and Neck Neoplasms']
286,['hsa-mir-142'],['Head and Neck Neoplasms']
287,['hsa-mir-146b'],['Head and Neck Neoplasms']
288,['hsa-mir-148a'],['Head and Neck Neoplasms']
289,['hsa-mir-148b'],['Head and Neck Neoplasms']
290,['hsa-mir-155'],['Head and Neck Neoplasms']
291,['hsa-mir-15a'],['Head and Neck Neoplasms']
292,['hsa-mir-18'],['Head and Neck Neoplasms']
293,['hsa-mir-186'],['Head and Neck Neoplasms']
294,['hsa-mir-191'],['Head and Neck Neoplasms']
295,['hsa-mir-195'],['Head and Neck Neoplasms']
296,['hsa-mir-197'],['Head and Neck Neoplasms']
297,['hsa-mir-19a'],['Head and Neck Neoplasms']
298,['hsa-mir-200a'],['Head and Neck Neoplasms']
299,['hsa-mir-205'],['Head and Neck Neoplasms']
300,['hsa-mir-21'],['Head and Neck Neoplasms']
301,['hsa-mir-210'],['Head and Neck Neoplasms']
302,['hsa-mir-214'],['Head and Neck Neoplasms']
303,['hsa-mir-22'],['Head and Neck Neoplasms']
304,['hsa-mir-221'],['Head and Neck Neoplasms']
305,['hsa-mir-29b'],['Head and Neck Neoplasms']
306,['hsa-mir-29c'],['Head and Neck Neoplasms']
307,['hsa-mir-30b'],['Head and Neck Neoplasms']
308,['hsa-mir-30e'],['Head and Neck Neoplasms']
309,['hsa-mir-31'],['Head and Neck Neoplasms']
310,['hsa-mir-331'],['Head and Neck Neoplasms']
311,['hsa-mir-373'],['Head and Neck Neoplasms']
312,['hsa-mir-374'],['Head and Neck Neoplasms']
313,['hsa-mir-375'],['Head and Neck Neoplasms']
314,['hsa-mir-422b'],['Head and Neck Neoplasms']
315,['hsa-mir-424'],['Head and Neck Neoplasms']
316,['hsa-mir-494'],['Head and Neck Neoplasms']
317,['hsa-mir-498'],['Head and Neck Neoplasms']
318,['hsa-mir-563'],['Head and Neck Neoplasms']
319,['hsa-mir-565'],['Head and Neck Neoplasms']
320,['hsa-mir-572'],['Head and Neck Neoplasms']
321,['hsa-mir-628'],['Head and Neck Neoplasms']
322,['hsa-mir-637'],['Head and Neck Neoplasms']
323,['hsa-mir-7'],['Head and Neck Neoplasms']
324,['hsa-mir-98'],['Head and Neck Neoplasms']
325,['hsa-let-7a'],['Carcinoma Hepatocellular']
326,['hsa-let-7b'],['Carcinoma Hepatocellular']
327,['hsa-let-7c'],['Carcinoma Hepatocellular']
328,['hsa-let-7d'],['Carcinoma Hepatocellular']
329,['hsa-let-7d'],['Carcinoma Hepatocellular']
330,['hsa-let-7e'],['Carcinoma Hepatocellular']
331,['hsa-let-7f'],['Carcinoma Hepatocellular']
332,['hsa-let-7g'],['Carcinoma Hepatocellular']
333,['hsa-mir-1'],['Carcinoma Hepatocellular']
334,['hsa-mir-1'],['Carcinoma Hepatocellular']
335,['hsa-mir-101'],['Carcinoma Hepatocellular']
336,['hsa-mir-101b'],['Carcinoma Hepatocellular']
337,['hsa-mir-103'],['Carcinoma Hepatocellular']
338,['hsa-mir-106a'],['Carcinoma Hepatocellular']
339,['hsa-mir-106b'],['Carcinoma Hepatocellular']
340,['hsa-mir-107'],['Carcinoma Hepatocellular']
341,['hsa-mir-122'],['Carcinoma Hepatocellular']
342,['hsa-mir-122a'],['Carcinoma Hepatocellular']
343,['hsa-mir-123'],['Carcinoma Hepatocellular']
344,['hsa-mir-124'],['Carcinoma Hepatocellular']
345,['hsa-mir-124a'],['Carcinoma Hepatocellular']
346,['hsa-mir-125a'],['Carcinoma Hepatocellular']
347,['hsa-mir-125b'],['Carcinoma Hepatocellular']
348,['hsa-mir-126'],['Carcinoma Hepatocellular']
349,['hsa-mir-127'],['Carcinoma Hepatocellular']
350,['hsa-mir-128b'],['Carcinoma Hepatocellular']
351,['hsa-mir-129'],['Carcinoma Hepatocellular']
352,['hsa-mir-130a'],['Carcinoma Hepatocellular']
353,['hsa-mir-130b'],['Carcinoma Hepatocellular']
354,['hsa-mir-132'],['Carcinoma Hepatocellular']
355,['hsa-mir-133a'],['Carcinoma Hepatocellular']
356,['hsa-mir-136'],['Carcinoma Hepatocellular']
357,['hsa-mir-137'],['Carcinoma Hepatocellular']
358,['hsa-mir-139'],['Carcinoma Hepatocellular']
359,['hsa-mir-141'],['Carcinoma Hepatocellular']
360,['hsa-mir-142'],['Carcinoma Hepatocellular']
361,['hsa-mir-143'],['Carcinoma Hepatocellular']
362,['hsa-mir-145'],['Carcinoma Hepatocellular']
363,['hsa-mir-146a'],['Carcinoma Hepatocellular']
364,['hsa-mir-148a'],['Carcinoma Hepatocellular']
365,['hsa-mir-148b'],['Carcinoma Hepatocellular']
366,['hsa-mir-150'],['Carcinoma Hepatocellular']
367,['hsa-mir-151'],['Carcinoma Hepatocellular']
368,['hsa-mir-152'],['Carcinoma Hepatocellular']
369,['hsa-mir-155'],['Carcinoma Hepatocellular']
370,['hsa-mir-15a'],['Carcinoma Hepatocellular']
371,['hsa-mir-16'],['Carcinoma Hepatocellular']
372,['hsa-mir-16a'],['Carcinoma Hepatocellular']
373,['hsa-mir-17'],['Carcinoma Hepatocellular']
374,['hsa-mir-172a'],['Carcinoma Hepatocellular']
375,['hsa-mir-18'],['Carcinoma Hepatocellular']
376,['hsa-mir-181a'],['Carcinoma Hepatocellular']
377,['hsa-mir-181b'],['Carcinoma Hepatocellular']
378,['hsa-mir-181c'],['Carcinoma Hepatocellular']
379,['hsa-mir-182'],['Carcinoma Hepatocellular']
380,['hsa-mir-183'],['Carcinoma Hepatocellular']
381,['hsa-mir-185'],['Carcinoma Hepatocellular']
382,['hsa-mir-186'],['Carcinoma Hepatocellular']
383,['hsa-mir-18a'],['Carcinoma Hepatocellular']
384,['hsa-mir-192'],['Carcinoma Hepatocellular']
385,['hsa-mir-194'],['Carcinoma Hepatocellular']
386,['hsa-mir-195'],['Carcinoma Hepatocellular']
387,['hsa-mir-199a'],['Carcinoma Hepatocellular']
388,['hsa-mir-199b'],['Carcinoma Hepatocellular']
389,['hsa-mir-19a'],['Carcinoma Hepatocellular']
390,['hsa-mir-19b'],['Carcinoma Hepatocellular']
391,['hsa-mir-200a'],['Carcinoma Hepatocellular']
392,['hsa-mir-200b'],['Carcinoma Hepatocellular']
393,['hsa-mir-203'],['Carcinoma Hepatocellular']
394,['hsa-mir-205'],['Carcinoma Hepatocellular']
395,['hsa-mir-205'],['Carcinoma Hepatocellular']
396,['hsa-mir-207'],['Carcinoma Hepatocellular']
397,['hsa-mir-20a'],['Carcinoma Hepatocellular']
398,['hsa-mir-21'],['Carcinoma Hepatocellular']
399,['hsa-mir-21'],['Carcinoma Hepatocellular']
400,['hsa-mir-212'],['Carcinoma Hepatocellular']
401,['hsa-mir-214'],['Carcinoma Hepatocellular']
402,['hsa-mir-215'],['Carcinoma Hepatocellular']
403,['hsa-mir-216'],['Carcinoma Hepatocellular']
404,['hsa-mir-219'],['Carcinoma Hepatocellular']
405,['hsa-mir-221'],['Carcinoma Hepatocellular']
406,['hsa-mir-222'],['Carcinoma Hepatocellular']
407,['hsa-mir-223'],['Carcinoma Hepatocellular']
408,['hsa-mir-224'],['Carcinoma Hepatocellular']
409,['hsa-mir-23a'],['Carcinoma Hepatocellular']
410,['hsa-mir-23b'],['Carcinoma Hepatocellular']
411,['hsa-mir-24'],['Carcinoma Hepatocellular']
412,['hsa-mir-25'],['Carcinoma Hepatocellular']
413,['hsa-mir-26a'],['Carcinoma Hepatocellular']
414,['hsa-mir-26b'],['Carcinoma Hepatocellular']
415,['hsa-mir-27a'],['Carcinoma Hepatocellular']
416,['hsa-mir-301'],['Carcinoma Hepatocellular']
417,['hsa-mir-30a'],['Carcinoma Hepatocellular']
418,['hsa-mir-30c'],['Carcinoma Hepatocellular']
419,['hsa-mir-30e'],['Carcinoma Hepatocellular']
420,['hsa-mir-31'],['Carcinoma Hepatocellular']
421,['hsa-mir-320'],['Carcinoma Hepatocellular']
422,['hsa-mir-324'],['Carcinoma Hepatocellular']
423,['hsa-mir-328'],['Carcinoma Hepatocellular']
424,['hsa-mir-338'],['Carcinoma Hepatocellular']
425,['hsa-mir-34a'],['Carcinoma Hepatocellular']
426,['hsa-mir-374'],['Carcinoma Hepatocellular']
427,['hsa-mir-500'],['Carcinoma Hepatocellular']
428,['hsa-mir-594'],['Carcinoma Hepatocellular']
429,['hsa-mir-9'],['Carcinoma Hepatocellular']
430,['hsa-mir-92a'],['Carcinoma Hepatocellular']
431,['hsa-mir-93'],['Carcinoma Hepatocellular']
432,['hsa-mir-96'],['Carcinoma Hepatocellular']
433,['hsa-mir-99a'],['Carcinoma Hepatocellular']
434,['hsa-let-7a'],['Lung Neoplasms']
435,['hsa-let-7b'],['Lung Neoplasms']
436,['hsa-let-7c'],['Lung Neoplasms']
437,['hsa-let-7d'],['Lung Neoplasms']
438,['hsa-let-7e'],['Lung Neoplasms']
439,['hsa-let-7f'],['Lung Neoplasms']
440,['hsa-let-7g'],['Lung Neoplasms']
441,['hsa-mir-1'],['Lung Neoplasms']
442,['hsa-mir-101'],['Lung Neoplasms']
443,['hsa-mir-106a'],['Lung Neoplasms']
444,['hsa-mir-124a'],['Lung Neoplasms']
445,['hsa-mir-125a'],['Lung Neoplasms']
446,['hsa-mir-125b'],['Lung Neoplasms']
447,['hsa-mir-126'],['Lung Neoplasms']
448,['hsa-mir-128b'],['Lung Neoplasms']
449,['hsa-mir-130a'],['Lung Neoplasms']
450,['hsa-mir-133b'],['Lung Neoplasms']
451,['hsa-mir-139'],['Lung Neoplasms']
452,['hsa-mir-140'],['Lung Neoplasms']
453,['hsa-mir-141'],['Lung Neoplasms']
454,['hsa-mir-143'],['Lung Neoplasms']
455,['hsa-mir-145'],['Lung Neoplasms']
456,['hsa-mir-146a'],['Lung Neoplasms']
457,['hsa-mir-146b'],['Lung Neoplasms']
458,['hsa-mir-150'],['Lung Neoplasms']
459,['hsa-mir-155'],['Lung Neoplasms']
460,['hsa-mir-16'],['Lung Neoplasms']
461,['hsa-mir-17'],['Lung Neoplasms']
462,['hsa-mir-181c'],['Lung Neoplasms']
463,['hsa-mir-182'],['Lung Neoplasms']
464,['hsa-mir-183'],['Lung Neoplasms']
465,['hsa-mir-18a'],['Lung Neoplasms']
466,['hsa-mir-191'],['Lung Neoplasms']
467,['hsa-mir-192'],['Lung Neoplasms']
468,['hsa-mir-195'],['Lung Neoplasms']
469,['hsa-mir-197'],['Lung Neoplasms']
470,['hsa-mir-198'],['Lung Neoplasms']
471,['hsa-mir-199a'],['Lung Neoplasms']
472,['hsa-mir-199b'],['Lung Neoplasms']
473,['hsa-mir-19a'],['Lung Neoplasms']
474,['hsa-mir-200a'],['Lung Neoplasms']
475,['hsa-mir-200b'],['Lung Neoplasms']
476,['hsa-mir-200c'],['Lung Neoplasms']
477,['hsa-mir-203'],['Lung Neoplasms']
478,['hsa-mir-204'],['Lung Neoplasms']
479,['hsa-mir-205'],['Lung Neoplasms']
480,['hsa-mir-20a'],['Lung Neoplasms']
481,['hsa-mir-21'],['Lung Neoplasms']
482,['hsa-mir-210'],['Lung Neoplasms']
483,['hsa-mir-212'],['Lung Neoplasms']
484,['hsa-mir-214'],['Lung Neoplasms']
485,['hsa-mir-216'],['Lung Neoplasms']
486,['hsa-mir-218'],['Lung Neoplasms']
487,['hsa-mir-219'],['Lung Neoplasms']
488,['hsa-mir-22'],['Lung Neoplasms']
489,['hsa-mir-220'],['Lung Neoplasms']
490,['hsa-mir-224'],['Lung Neoplasms']
491,['hsa-mir-24'],['Lung Neoplasms']
492,['hsa-mir-26a'],['Lung Neoplasms']
493,['hsa-mir-27b'],['Lung Neoplasms']
494,['hsa-mir-29a'],['Lung Neoplasms']
495,['hsa-mir-29b'],['Lung Neoplasms']
496,['hsa-mir-29c'],['Lung Neoplasms']
497,['hsa-mir-30a'],['Lung Neoplasms']
498,['hsa-mir-30e'],['Lung Neoplasms']
499,['hsa-mir-31'],['Lung Neoplasms']
500,['hsa-mir-32'],['Lung Neoplasms']
501,['hsa-mir-324'],['Lung Neoplasms']
502,['hsa-mir-33'],['Lung Neoplasms']
503,['hsa-mir-335'],['Lung Neoplasms']
504,['hsa-mir-338'],['Lung Neoplasms']
505,['hsa-mir-339'],['Lung Neoplasms']
506,['hsa-mir-345'],['Lung Neoplasms']
507,['hsa-mir-377'],['Lung Neoplasms']
508,['hsa-mir-423'],['Lung Neoplasms']
509,['hsa-mir-425'],['Lung Neoplasms']
510,['hsa-mir-429'],['Lung Neoplasms']
511,['hsa-mir-451'],['Lung Neoplasms']
512,['hsa-mir-497'],['Lung Neoplasms']
513,['hsa-mir-511'],['Lung Neoplasms']
514,['hsa-mir-7'],['Lung Neoplasms']
515,['hsa-mir-9'],['Lung Neoplasms']
516,['hsa-mir-93'],['Lung Neoplasms']
517,['hsa-mir-95'],['Lung Neoplasms']
518,['hsa-mir-98'],['Lung Neoplasms']
519,['hsa-mir-99a'],['Lung Neoplasms']
520,['hsa-let-7e'],['lymphoma']
521,['hsa-mir-106a'],['lymphoma']
522,['hsa-mir-10a'],['lymphoma']
523,['hsa-mir-127'],['lymphoma']
524,['hsa-mir-139'],['lymphoma']
525,['hsa-mir-143'],['lymphoma']
526,['hsa-mir-145'],['lymphoma']
527,['hsa-mir-149'],['lymphoma']
